id,Address,Response_Address,Response_X,Response_Y
1,臺中市梧棲區臺灣大道九段４２號,,,
2,臺中市南區和昌街１５６號,,,
3,臺中市南屯區楓樹西街１８９之２號,,,
4,臺中市西屯區福上巷龍欣一弄３號,,,
5,臺中市梧棲區大勇二路１８號,,,
6,臺中市梧棲區大勇二路１８號,,,
7,臺中市北區柳川東路四段１３號,,,
8,臺中市北屯區青島路三段２３５之５號,,,
9,臺中市西區福人街１４２號,,,
10,臺中市西屯區至善路２４２號,,,
11,臺中市豐原區三豐路二段８９巷３７號,,,
12,臺中市梧棲區自強一街９０巷３５號,,,
13,臺中市太平區永平南路４５號,,,
14,臺中市太平區新仁路一段１９２號,,,
15,臺中市西屯區至善路１２１巷６號,,,
16,臺中市西屯區福聯街７２號,,,
17,臺中市西屯區青海南街２０５號,,,
18,臺中市梧棲區自強一街９０巷３５號,,,
19,臺中市西屯區福聯街１５巷９號,,,
20,臺中市西屯區福聯街１５巷９號,,,
21,臺中市中區民權路２２號,,,
22,臺中市中區民族路６４號,,,
23,臺中市北區錦南街１９之３號,,,
24,臺中市西屯區國安一路２０６巷１８號,,,
25,臺中市西屯區上石北２巷１５號,,,
26,臺中市西屯區西屯路三段１６６之１００號,,,
27,臺中市西屯區至善路８２巷２４號,,,
28,臺中市后里區民生路３８９號,,,
29,臺中市太平區永平南路４７號,,,
30,臺中市西區五權西一街１２３號,,,
31,臺中市北區育強街１１７之２號,,,
32,臺中市大甲區水源路２６６號,,,
33,臺中市梧棲區永寧路６７巷５８號,,,
34,臺中市梧棲區永寧路３６巷３４號,,,
35,臺中市沙鹿區星河路１６６號,,,
36,臺中市西區三民路１段５０巷８號,,,
37,臺中市西區大墩１９街７號,,,
38,臺中市北區北屯路４９號,,,
39,臺中市西屯區文心路三段１９９之２號,,,
40,臺中市西屯區環中路三段８００號,,,
41,臺中市南屯區嶺東南路４０號,,,
42,臺中市豐原區中陽路５３７巷１５號,,,
43,臺中市豐原區豐西街２６號,,,
44,臺中市豐原區豐西街２６號,,,
45,臺中市豐原區豐西街２６號,,,
46,臺中市豐原區豐西街２６號,,,
47,臺中市大里區仁愛路１９巷１５號,,,
48,臺中市太平區中山路四段２８巷１７弄１４號,,,
49,臺中市北屯區南興路７０１號,,,
50,臺中市南屯區文心路一段３７８號,,,
51,臺中市西屯區文心路三段６號,,,
52,臺中市豐原區愛國街１０９號,,,
53,臺中市梧棲區居仁街６３巷１８號,,,
54,臺中市梧棲區八德東路６９號,,,
55,臺中市大里區塗城路６７３巷１３弄１５號,,,
56,臺中市大里區向上街３６巷６之７號,,,
57,臺中市太平區正誠街２５６巷４２號,,,
58,臺中市南區復興路一段２７１號,,,
59,臺中市北區進化北路２６３號,,,
60,臺中市北區北屯路４９號,,,
61,臺中市南屯區惠文路５２８號,,,
62,臺中市南屯區文心南二路５２２號,,,
63,臺中市豐原區合作街１６０巷２弄１號,,,
64,臺中市沙鹿區忠貞路２９１號,,,
65,臺中市烏日區環河北路２４８號,,,
66,臺中市太平區光興路１１６５巷４２號,,,
67,臺中市太平區環太東路２２１之５號,,,
68,臺中市北區忠明八街１４號,,,
69,臺中市潭子區祥和路１７２巷４２之１號,,,
70,臺中市南區德富路３０號,,,
71,臺中市南屯區文心南路２２７號,,,
72,臺中市北區進化路５１７號,,,
73,臺中市西屯區西屯路二段２６８之８巷１號,,,
74,臺中市南屯區河南路四段５２２號,,,
75,臺中市西屯區國安一路１２９號,,,
76,臺中市東勢區文新二街３１號,,,
77,臺中市潭子區大明一路１０６巷２０號,,,
78,臺中市龍井區南社三街６８號,,,
79,臺中市西區五權路２２巷１２號,,,
80,臺中市南區新和街２０３號,,,
81,臺中市北屯區昌平路二段國泰巷５１號,,,
82,臺中市北屯區中清路二段４１５巷４０弄３３號,,,
83,臺中市北屯區太原路三段１３９巷１號,,,
84,臺中市西屯區工業區三十八路６８號,,,
85,臺中市后里區成功路５１６號,,,
86,臺中市神岡區大漢街６３巷１９號,,,
87,臺中市梧棲區自強一街９０巷３５號,,,
88,臺中市梧棲區八德東路６９號,,,
89,臺中市沙鹿區保成一街１２巷２８號,,,
90,臺中市梧棲區臨港路四段５８８號,,,
91,臺中市梧棲區臨港路四段８８２巷３３號,,,
92,臺中市沙鹿區長春路２５０號,,,
93,臺中市潭子區和平路３３巷２１號,,,
94,臺中市大里區大智路５６５巷２５之７號,,,
95,臺中市大里區現岱路１１號,,,
96,臺中市大里區環中東路六段１６巷５號,,,
97,臺中市大里區中興路二段７７０號,,,
98,臺中市南屯區春安路７０號,,,
99,臺中市西屯區長安路二段２７８號,,,
100,臺中市大甲區甲后路五段３３５巷２００弄１０號,,,
101,臺中市東勢區東蘭路永盛巷１１２之１號,,,
102,臺中市大雅區學府路７６巷１１號,,,
103,臺中市霧峰區民生路５８７號,,,
104,臺中市南屯區永春路１２之３號,,,
105,臺中市西區長春街５２號,,,
106,臺中市西區公益路１１９號,,,
107,臺中市西區忠仁街３７－１號,,,
108,臺中市北區育德路１０號,,,
109,臺中市北區育強街１０３之１號,,,
110,臺中市南屯區向上路三段６７號,,,
111,臺中市西屯區西屯路二段２５９之３號,,,
112,臺中市南屯區寶山東二街１９巷６號,,,
113,臺中市梧棲區文化路二段２９７號,,,
114,臺中市東勢區東蘭路１９５之１號,,,
115,臺中市潭子區潭興路一段５５號,,,
116,臺中市烏日區僑仁街８號,,,
117,臺中市大里區吉隆路４巷２３號,,,
118,臺中市西區精誠五街３３號,,,
119,臺中市西區忠明南路１１２號,,,
120,臺中市南區文心南路９０１巷３３號,,,
121,臺中市西區民生路１９７號,,,
122,臺中市豐原區水源路中坑巷３８號,,,
123,臺中市后里區三光路１７號,,,
124,臺中市梧棲區八德東路６９號,,,
125,臺中市新社區井南街２１號,,,
126,臺中市東勢區本街２９２號,,,
127,臺中市大里區內元路８７巷３４號,,,
128,臺中市大肚區遊園路一段８７巷２弄１８號,,,
129,臺中市大肚區永和街１之１８號,,,
130,臺中市太平區中山路一段２８２巷６１號,,,
131,臺中市中區光復路１０４號,,,
132,臺中市中區中華路１段１１４號,,,
133,臺中市南區忠孝路１２３巷４弄６之４號,,,
